ID_TEST;TEST_ENGLISH;TEST_FRANCAIS
Jour_7_75; Yeah, it’s really good.;a
Jour_7_76;Thank you so much for having made my favorite dish ever, I appreciate it a lot.;a
Jour_7_77; I appreciate you a lot.;a
Jour_7_78;I’m glad you like it. ;a
Jour_7_79;I think Milo likes it too.;a
Jour_7_80;Of course he does, It’s delicious.;a
Jour_7_81;Yeah, I love it, it’s so good.;a
Jour_7_82;See? Even Milo wants some!;a
Jour_7_83;I already gave him some salmon.;a
Jour_7_84;He must have liked it then.;a
Jour_7_85;What is he- Milo, no! Stop scratching the sofa!;a
Jour_7_86;It’s okay I don’t mind a bit of chaos, not when it’s with you. ;a
Jour_7_87;You are very chaotic too Lena, I dare say.;a
Jour_7_88;But you love me.;a
Jour_7_89;Yeah, you’re the best.;a
Jour_7_90;What is that noise?;a
Jour_7_91;Which noise?;a
Jour_7_92;That noise.;a
Jour_7_93;Milo!;a
Jour_7_94;You’re so silly like that.;a
Jour_7_95;I think he’s cute.;a
Jour_7_96;You always think he’s cute.;a
Jour_7_97;Yeah, because he looks like his owner.;a
Jour_7_98;What is he- Milo, no! Stop messing with the trash can!;a
Jour_7_99;It’s okay I don’t mind a bit of chaos, not when it’s with you. ;a
Jour_7_100;You are very chaotic too Lena, I dare say.;a
Jour_7_101;But you love me. ;a
Jour_7_102;Yeah, you’re the best.;a
Jour_7_103;Lena, I just wanted to thank you for being there for me you know.  ;a
Jour_7_104;It’s been up and down lately, and you made it better, so thank you.;a
Jour_7_105;Well, you deserve it? ;a
Jour_7_106;You’ve always been there for me since I met you and I just love being around you.;a
Jour_7_107;It’s been hard for me too but when I see you, I’m happier.;a
Jour_7_108;Me too.;a
Jour_7_109;Remember when we met? We just fully collided into each other.;a
Jour_7_110;Yeah, chuckles I had to get to my English class. ;a
Jour_7_111;And I had to get to my P.E. class.;a
Jour_7_112;We just crashed around the corner of the cafeteria and your English books flew everywhere.;a
Jour_7_113;It was such a good time.;a
Jour_7_114;Yeah, it was.;a
Jour_7_115;Let’s finish eating our supper.;a
Jour_7_116;chuckles Yes, our  s u p p e r.;a
;;
Jour_7_117;So? What do you think?;a
Jour_7_118;It’s good, it’s good. ;a
Jour_7_119;Yeah? ;a
Jour_7_120;Yeah, it’s really good.;a
Jour_7_121;Thank you so much for having made my favorite dish ever;a
Jour_7_122;I appreciate it a lot.;a
Jour_7_123;I appreciate you a lot.;a
Jour_7_124;Thank you, I’m happy you like it.;a
Jour_7_125;I think Milo likes it too.;a
Jour_7_126;Of course he does, It’s delicious.;a
Jour_7_127;Yeah, I love it, it’s so good.;a
Jour_7_128;See? Even Milo wants some!;a
Jour_7_129;I already gave him some salmon.;a
Jour_7_130;He must have liked it then.;a
Jour_7_131;What is he- Milo, no! Stop scratching the sofa!;a
Jour_7_132;It’s okay I don’t mind a bit of chaos, not when it’s with you.;a
Jour_7_133;You are very chaotic too Lena, I dare say.;a
Jour_7_134;But you love me.;a
Jour_7_135;Yeah, you’re the best.;a
Jour_7_136;What is that noise?;a
Jour_7_137;Which noise?;a
Jour_7_138;That noise.;a
Jour_7_139;…;a
Jour_7_140;Milo!;a
Jour_7_141;You’re so silly like that.;a
Jour_7_142;I think he’s cute.;a
Jour_7_143;You always think he’s cute.;a
Jour_7_144;Yeah, because he looks like his owner.;a
Jour_7_145;What is he- Milo, no! Stop messing with the trash can!;a
Jour_7_146;It’s okay I don’t mind a bit of chaos, not when it’s with you.;a
Jour_7_147;You are very chaotic too Lena, I dare say.;a
Jour_7_148;But you love me.;a
Jour_7_149;Yeah, you’re the best.;a
Jour_7_150;Lau?;a
Jour_7_151;I have to talk to you.;a
Jour_7_152;Yeah sure, what’s going on? ;a
Jour_7_153;You know I told you that I applied for a job in Mäntyharju right?;a
Jour_7_154;Oh yeah, I remember about that;a
Jour_7_155;but you told me they had never answered you.;a
Jour_7_156;They answered last week…;a
Jour_7_157;No way?? For real?? That’s awesome!;a
Jour_7_158;Yeah, I’m super excited. There’s just one small problem.;a
Jour_7_159;What is it?;a
Jour_7_160;They want me to start in 2 weeks.;a
Jour_7_161;Two weeks??;a
Jour_7_162;Yeah, I’m moving into my new apartment next week.;a
Jour_7_163;I already packed everything with my brother.;a
Jour_7_164;Oh... okay? But what about school?;a
Jour_7_165;And our project for Mr.Virtanen too?;a
Jour_7_166;Yeah, I’ll work from there.;a
Jour_7_167;I got the Wi-Fi set up and everything.;a
Jour_7_168;But don’t worry, I’ll still come back to see you and Milo from time to time.;a
Jour_7_169;After all, we still got to go to the funfair together.;a
Jour_7_170;Ah. Okay. This is... unexpected?;a
Jour_7_171;I’m sorry I wanted to tell you sooner, but I couldn’t bring myself to tell you.;a
Jour_7_172;…;a
Jour_7_173;Lau?;a
Jour_7_174;What?;a
Jour_7_175;You heard me right?;a
Jour_7_176;I did, I did, sorry.;a
Jour_7_177;I’m sorry, I just- I need- I’m going to get some water, okay?;a
Jour_7_178;I’ll be back.;a
Jour_7_179;Sure, I’ll wait here.;a
